parameter,diameter,baseline,low,high,Y0,Y_low,Y_high,abs_range,swing_low_pct,swing_high_pct
hz_outer_au,20.0,1.67,1.4,1.77,55.070776933333335,60.92375226666667,52.4655428,8.458209466666666,10.62809653188429,-4.730701614192105
hz_outer_au,50.0,1.67,1.4,1.77,776.1661394666667,877.3389987999999,737.2548553333332,140.08414346666666,13.034948858095376,-5.013267412060883
hz_outer_au,100.0,1.67,1.4,1.77,5743.3266616,6446.440627733334,5465.332336933333,981.1082908000008,12.242277125457063,-4.840301467185262
hz_outer_au,250.0,1.67,1.4,1.77,60134.58636093334,65473.68806293333,57913.747482800005,7559.940580133327,8.878587224254293,-3.693114083804708
hz_outer_au,500.0,1.67,1.4,1.77,100254.0478236,106536.41150973333,97833.31883599999,8703.092673733336,6.266443921733044,-2.414594762157992
hz_outer_au,750.0,1.67,1.4,1.77,102356.33094573332,109448.9576532,99737.71858306666,9711.23907013335,6.929348328465397,-2.558329649442971
hz_outer_au,1000.0,1.67,1.4,1.77,94299.21311653333,102925.01130999999,91226.72672080001,11698.284589199975,9.147264233061044,-3.25823121337862
radius_factor,10.0,1.0,0.8,1.2,3.5821969333333326,1.4346390666666666,6.750724933333333,5.316085866666667,-59.95085995085994,88.45208845208849
radius_factor,20.0,1.0,0.8,1.2,55.070776933333335,31.3420228,80.79746399999999,49.455441199999996,-43.08774172926323,46.71567844014701
radius_factor,50.0,1.0,0.8,1.2,776.1661394666667,439.61565706666664,1141.2773812,701.6617241333333,-43.360624135350285,47.040346540267166
radius_factor,100.0,1.0,0.8,1.2,5743.3266616,3291.1764379999995,8385.975829733332,5094.799391733332,-42.695642579328236,46.012517201957856
radius_factor,250.0,1.0,0.8,1.2,60134.58636093334,40965.56405626667,74409.9491916,33444.38513533333,-31.876867314946562,23.739022240852563
radius_factor,500.0,1.0,0.8,1.2,100254.0478236,84411.85669839999,110408.45834333333,25996.60164493334,-15.802046370311972,10.128678831602207
radius_factor,750.0,1.0,0.8,1.2,102356.33094573332,89809.549764,110150.54896559998,20340.99920159999,-12.257943466521194,7.614788404245316
radius_factor,1000.0,1.0,0.8,1.2,94299.21311653333,85371.11974893333,100023.04452946667,14651.924780533343,-9.467834430990232,6.069861267940735
