aperture_m,scenario,mode,exposure_s,contrast_floor,iwa_mas,completeness,wa_completeness,n_stars_sim,n_selected_full,n_accessible,frac_accessible,eta_earth,E_yield_sample,E_yield_local,n_stars_local_est,completeness_mean,completeness_lo,completeness_hi,frac_accessible_lo,frac_accessible_hi,E_yield_local_mean,E_yield_local_lo,E_yield_local_hi
80.0,goal_1e-11,characterization,21600.0,1e-11,4.2542156250000005,0.007474666666666667,0.13608466666666666,1500,24409,36,0.024,0.24,43.78779328,1459.5931093333334,813633.3333333334,0.007491009333333333,0.006131173333333333,0.008839173333333334,0.02,0.028,1462.7843745386665,1197.2464791466664,1726.0430551466668
120.0,current_1e-9,characterization,21600.0,1e-09,2.83614375,0.003041333333333333,0.3278526666666667,1500,24409,30,0.02,0.24,17.81661728,593.8872426666667,813633.3333333334,0.003033996,0.00251296,0.0035023999999999997,0.016666666666666666,0.023333333333333334,592.4544669119999,490.71072511999995,683.9206528000001
120.0,nearterm_1e-10,characterization,21600.0,1e-10,2.83614375,0.019768666666666667,0.3278526666666667,1500,24409,110,0.07333333333333333,0.24,115.80801231999999,3860.267077333333,813633.3333333334,0.019810810666666668,0.017843066666666664,0.02172845333333333,0.06733333333333333,0.08,3868.496620501334,3484.251314133333,4242.958539306666
120.0,goal_1e-11,characterization,21600.0,1e-11,2.83614375,0.022650666666666666,0.3278526666666667,1500,24409,115,0.07666666666666666,0.24,132.69122944,4423.040981333334,813633.3333333334,0.022494504,0.02005416,0.024874559999999997,0.06933333333333333,0.08277333333333331,4392.5467850879995,3916.015931520001,4857.305080319999
200.0,current_1e-9,characterization,21600.0,1e-09,1.7016862500000003,0.014250666666666665,0.6569633333333333,1500,24409,127,0.08466666666666667,0.24,83.48268543999998,2782.7561813333327,813633.3333333334,0.014315142666666666,0.013246453333333333,0.015361173333333334,0.078,0.09133333333333334,2795.3465388053337,2586.661435306667,2999.6070391466665
200.0,nearterm_1e-10,characterization,21600.0,1e-10,1.7016862500000003,0.07740733333333333,0.6569633333333333,1500,24409,416,0.2773333333333333,0.24,453.46454384,15115.484794666667,813633.3333333334,0.07748710533333332,0.07384861333333333,0.08163432000000001,0.266,0.29,15131.062032650667,14420.566422826667,15940.896935040002
200.0,goal_1e-11,characterization,21600.0,1e-11,1.7016862500000003,0.08801800000000001,0.6569633333333333,1500,24409,436,0.2906666666666667,0.24,515.6235268800001,17187.450896000006,813633.3333333334,0.08797241066666667,0.08348058666666666,0.09251576,0.2793333333333333,0.30266666666666664,17178.548575701334,16301.421119573331,18065.73748672
300.0,current_1e-9,characterization,21600.0,1e-09,1.1344575000000001,0.04955466666666667,0.8429746666666666,1500,24409,453,0.302,0.24,290.29916608,9676.638869333334,813633.3333333334,0.04960077066666667,0.047722053333333334,0.051515946666666666,0.28933333333333333,0.31466666666666665,9685.641689621334,9318.780798506667,10059.621937493332
300.0,nearterm_1e-10,characterization,21600.0,1e-10,1.1344575000000001,0.22957600000000003,0.8429746666666666,1500,24409,1175,0.7833333333333333,0.24,1344.89294016,44829.764672000005,813633.3333333334,0.22978363333333335,0.22494103999999998,0.23464797333333334,0.774,0.7933333333333333,44870.30964826666,43924.68676288,45820.179048746664
300.0,goal_1e-11,characterization,21600.0,1e-11,1.1344575000000001,0.25832866666666665,0.8429746666666666,1500,24409,1190,0.7933333333333333,0.24,1513.3306619199998,50444.355397333326,813633.3333333334,0.2581423986666666,0.2525968266666667,0.2640621066666667,0.7818933333333333,0.8026666666666666,50407.98247243734,49325.08753685334,51563.93569301334
500.0,current_1e-9,characterization,21600.0,1e-09,0.6806745,0.14040066666666667,0.9183026666666666,1500,24409,1085,0.7233333333333334,0.24,822.4895694400001,27416.318981333337,813633.3333333334,0.14049418,0.13762597333333332,0.14337677333333335,0.7126666666666667,0.7346666666666667,27434.579516960002,26874.49906474667,27997.469282346665
500.0,nearterm_1e-10,characterization,21600.0,1e-10,0.6806745,0.49504266666666663,0.9183026666666666,1500,24409,1490,0.9933333333333333,0.24,2900.0391481599995,96667.97160533332,813633.3333333334,0.4951685293333334,0.49127514666666666,0.49898682666666666,0.9913333333333333,0.9953333333333333,96692.54905997866,95932.28043989334,97438.15561685333
500.0,goal_1e-11,characterization,21600.0,1e-11,0.6806745,0.550738,0.9183026666666666,1500,24409,1490,0.9933333333333333,0.24,3226.3113220799996,107543.710736,813633.3333333334,0.5510212160000001,0.5470253066666666,0.5550723733333334,0.9913333333333333,0.9953333333333333,107599.014890752,106818.72568341333,108390.09248554667
700.0,current_1e-9,characterization,21600.0,1e-09,0.48619607142857146,0.18219000000000002,0.8947273333333332,1500,24409,1135,0.7566666666666667,0.24,1067.2981704000001,35576.60568000001,813633.3333333334,0.182268724,0.17886682666666665,0.18570941333333332,0.746,0.768,35591.978272928,34927.68297685333,36263.84856042667
700.0,nearterm_1e-10,characterization,21600.0,1e-10,0.48619607142857146,0.5869473333333334,0.8947273333333332,1500,24409,1487,0.9913333333333333,0.24,3438.43139024,114614.37967466666,813633.3333333334,0.5866369293333333,0.5828412799999999,0.5904188533333333,0.9886666666666667,0.994,114553.76646477866,113812.58242815999,115292.27032810666
700.0,goal_1e-11,characterization,21600.0,1e-11,0.48619607142857146,0.6522346666666666,0.8947273333333332,1500,24409,1488,0.992,0.24,3820.8950348799995,127363.16782933332,813633.3333333334,0.6523489826666666,0.6486720266666666,0.6563106666666667,0.99,0.9946666666666667,127385.49054328533,126667.4839912533,128159.09650133333
1000.0,current_1e-9,characterization,21600.0,1e-09,0.34033725,0.20260466666666668,0.7887813333333333,1500,24409,1135,0.7566666666666667,0.24,1186.8905540800001,39563.018469333336,813633.3333333334,0.2029502093333333,0.19869088000000004,0.20726202666666665,0.7466666666666667,0.7693333333333333,39630.493276938665,38798.76551936001,40472.470471253335
1000.0,nearterm_1e-10,characterization,21600.0,1e-10,0.34033725,0.5736906666666667,0.7887813333333333,1500,24409,1467,0.978,0.24,3360.7717158399996,112025.72386133332,813633.3333333334,0.5737347213333333,0.5684329866666668,0.5792797333333334,0.974,0.982,112034.32650420266,110999.04617237335,113117.11208746668
1000.0,goal_1e-11,characterization,21600.0,1e-11,0.34033725,0.6360180000000001,0.7887813333333333,1500,24409,1473,0.982,0.24,3725.895206880001,124196.50689600004,813633.3333333334,0.63609722,0.6301249333333334,0.6418176266666666,0.9786666666666667,0.9853333333333333,124211.97634384,123045.75598186666,125329.01159445333
