source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,random_index,ruwe,teff_gspphot,logg_gspphot,lum_flame,mass_flame,radius_flame
1752189568342546048,305.8422299065716,8.003250060157944,50.4573390266491,2691.8682,13.544353,1727785738,1.0684186,3031.9124,5.0356,0.003921853,,0.22697416
1776158818746273664,332.36787783028683,17.63862329785307,34.30820717567437,1126.6704,14.580899,857477176,1.2407994,3097.0618,5.109,0.0027173175,,0.18089835
2033828956446083584,298.1126017327238,31.92186291799728,30.26646287509402,2245.423,13.2993355,798457103,1.206802,3122.7957,4.5515,0.011159017,,0.37996265
2048157036035036416,294.704049382266,35.214217125679454,29.60384196065453,1416.8436,14.7692995,1689400455,1.1553513,3141.138,5.1176,0.0028743285,,0.1810965
2065349137273493632,312.1895821131992,40.66176615184375,26.91836862003005,1429.5312,14.284971,173279701,1.1125326,3071.518,4.6654,0.0057687145,,0.2427098
2078878456059034880,297.914614896397,44.12872933608653,33.4674765414203,2324.796,8.338692,523519225,0.91038173,4972.22,4.5348,0.3339056,0.7944725,0.77868825
2107609725678503168,283.73691095419184,47.61711084877327,27.301148388775225,2379.8486,13.018631,628593071,1.2088321,3129.6296,4.2444,0.014964566,,0.39203396
2136250831052210944,291.1915039560051,51.83293019808115,28.58501547353973,2130.4863,11.386718,11800935,1.0142593,3830.1304,4.7242,0.05057842,,0.50595057
2142179058447029760,293.97681259742376,56.98210052218713,41.79157018841844,2433.459,12.407508,1266043590,1.2556205,3090.6636,4.2788,0.012420395,,0.3887757
2145277550935526784,278.4892420545044,51.72092654311236,60.58970173680388,2913.1948,13.906976,112647910,1.2381667,2930.2627,5.1007,0.0022225638,,0.18291919
2146576757065535360,284.41007875781185,53.52066796090236,40.34803770071597,2714.3933,12.018861,497790883,1.2605329,3370.5251,4.8436,0.016731448,,0.3792464
2165005778845718784,320.124277848486,48.73110108037138,25.03885726743046,1130.4448,15.087338,108955011,1.0783606,3051.7053,5.048,0.0036710706,,0.2167747
2173241739422383360,326.7862103074046,53.15792250820613,30.25570447860992,2190.6777,13.666571,170218965,1.1111466,3038.0972,4.395,0.0079505835,,0.32195044
2194570134681591680,310.0746668125664,60.50609153866189,30.05655052560772,1478.8369,5.9106083,272031452,0.9128925,6446.8794,4.1576,3.4833593,1.2844203,1.4960108
2213356768310300800,344.0607562407445,68.25952577271494,38.39151948448325,3141.7983,13.506111,1704880383,1.1192355,3187.239,4.6777,0.0045987265,,0.22241546
2214830079531710336,352.9717323277744,69.2870428867335,44.23431586230648,2593.084,14.125885,1571432363,1.1425195,3036.8198,5.0913,0.0028268,,0.19209448
2226342516029903872,338.5786947236446,69.89882193865552,31.44291737841583,1876.8519,13.93418,197696735,1.3396293,3000.149,4.4892,0.0061639585,,0.29062343
2244372032822762624,302.076316194721,63.99799656129746,28.451914277260197,2491.4072,13.584652,1077687558,1.1251547,3049.0645,4.3215,0.009468053,,0.34872457
2250864202306722944,301.4095541941699,69.39998367486213,26.5640779587508,2368.6577,11.15754,1782190207,0.9101563,4001.1736,4.6871,0.0669125,0.59032214,0.5667544
2271611059010561920,315.25721458253724,70.3195266076775,31.01462615543249,2672.6997,11.804088,1400567469,1.0700305,3438.6099,4.24,0.027574452,,0.46790704
2310734706381836032,356.5259975639803,-37.038884953570246,27.26668376537284,1167.2435,14.5274725,973867132,1.1049649,3129.865,5.0368,0.0046003186,,0.23069084
2343647384368388608,11.112601864577796,-26.515018438908708,29.31866648929044,909.31696,7.624324,1419437050,1.1035328,5544.7617,4.4177,0.7846282,0.91216505,0.95983315
2387762436574094848,355.1967040495582,-22.42614031745477,34.07972708996656,1467.7336,13.812354,1427247448,1.1349343,3007.72,4.5131,0.0058124773,,0.28197223
2398350767909727104,346.9158035588226,-20.83084638543778,25.60414735863911,551.31775,15.745708,779421918,0.9854181,2958.6294,5.1076,0.0021164846,,0.17489684
2415243733278993920,359.87141868257737,-16.944923847676073,27.67235617712394,986.943,8.706769,1304226900,0.96370095,5147.259,4.5571,0.33934256,,0.7325015
2423806317518679040,6.110535019684653,-12.288769575366214,39.3211043783822,1717.9254,13.777397,1739542253,1.2178165,3107.9966,5.0303,0.0046026353,,0.23401517
2454812025730108672,19.39305269408021,-15.505430979065766,30.817435881684894,2091.112,9.404387,1258031089,0.9852475,4519.9336,4.5839,0.16736569,0.73290503,0.6671476
2456361448068627712,20.76310123464915,-12.966182074120391,33.27287371941166,1206.892,7.6267977,370381523,0.8822965,5244.1235,4.4399,0.6187427,,0.9857921
2467242352575094784,25.994623558557567,-6.913531290688611,66.47497274909824,2605.2974,11.452647,869474906,1.0730139,3132.1082,4.3331,0.011101252,,0.3577656
