source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,random_index
489005395570844672,59.35458089035676,64.99224281461662,0.4715104031407202,19.881865,15.062702,277765
501491587053165824,65.46955998925645,73.10561497983795,0.3137969151339894,12.425077,15.342212,126067
511107709596887296,19.785391770284654,62.62879252094046,0.4511420553966247,18.814358,15.126652,255270
513174757098706048,23.579972778163043,64.90869483532204,0.5175657206882488,23.457388,15.189391,161590
513648612247042688,36.17408261892382,62.04290982710727,0.8126177237571256,24.249277,15.871334,297026
517569436349618560,39.92801134723458,67.8454669555367,0.2116138601781869,11.386548,14.329443,186838
526790421899935488,14.906332034327455,68.20064447616157,0.3419099082575989,9.883157,16.239159,286355
527013828920766848,7.914845096441482,64.14899925988982,0.7227829016229919,31.759352,15.115259,21152
528267615770065664,4.122690404500099,66.34348073514664,0.9534091452043322,71.01262,13.755065,291594
528941307159963008,2.288221376484049,67.9353154856029,0.5646507554391464,10.9649725,16.803951,26342
532187615241889920,24.187030686920124,69.47344663154459,0.8450828046704671,56.14275,14.259116,66967
533116358970367872,19.41043578545532,69.56379629885612,0.5248056283823317,13.65103,16.257803,85436
537942733977937408,3.977298247356509,73.6962008161915,0.4605185306677591,10.547015,16.528837,266312
538121988732187904,1.788280928649714,74.59228254441626,0.5309741741217128,11.908475,16.541267,254387
546770884634203136,38.72766233509811,73.32394569385256,2.283558974174624,90.556984,15.138717,159018
549438609080129152,44.98835686478358,78.20020009810277,0.6646800580477195,30.362469,15.226829,222873
550045780017660288,67.51078337989198,74.57484747517204,0.3253502537033939,13.611742,15.294293,223556
566225815174471040,23.22619363753954,81.78503575446695,0.379927673303352,21.764742,14.72471,24627
568297329440856704,56.99436492470405,81.89432609776993,0.3278458893059998,6.699742,16.917496,185725
568630412744781312,40.58297771859516,80.54486668378257,0.3466057556998896,10.288948,15.971683,229400
715919272413893376,136.87537240268628,37.54939300795887,0.6925597545058957,45.550312,10.727139,174154
809696172470701056,152.20652606787397,44.85940025663231,1.1804175284392373,62.373596,14.253199,92846
849834394198101760,162.54811998813324,54.50195030873471,2.0323161077657854,84.40924,14.818633,141757
922575815748415872,119.56578386031056,42.46120435569159,0.4685638311063546,6.625018,16.298456,73888
991546256013956992,103.59628249017372,51.28291505834929,0.9708749551569492,14.069622,16.960613,99319
997084186845467008,92.3444201470759,55.29044072638262,0.414220624690766,10.967482,15.751533,106461
999931578364697600,103.94814455621122,55.58300947914218,0.4070897466822574,8.533234,15.930478,158944
1039990429095805184,140.58904944165135,61.89691156162068,0.7558597467918506,26.418573,15.546263,133514
1042485530217725952,130.67433451696053,62.57566844609136,0.9756134064280548,23.88948,16.468311,24623
1058348081391664384,160.1580200136064,63.61782032870836,8.753972275891282,544.30804,13.767608,86596
1058814755358309248,163.46110153073025,65.66844344449976,0.8265398949723591,33.49069,15.550677,55435
1097907822564858880,120.82819275331524,69.07034385750579,0.6516464317553712,14.397296,15.813931,124464
1107621080084400896,92.75944112542857,70.642291675666,0.4570324712150664,8.927844,16.797318,190394
1107738521669905664,90.66946380614957,71.42604377888144,3.3575037868224165,108.77269,15.467089,11562
1107901799148868736,112.4268856952388,66.91180817154071,0.4550245197495103,27.467758,14.115248,299674
1152560353693476352,165.9352926935137,88.65138938662324,0.9141463936000488,16.951466,16.930807,172212
1361066138147512064,262.27201201550366,45.55389726933609,0.9591832076644142,47.18387,15.03551,102529
1367548377668851200,268.5304521294086,50.59189000785127,0.5119006757194997,20.258032,15.797212,178781
1417726579370546048,264.7664140897474,54.25214604358656,0.4156190219651289,10.651035,16.358166,167960
1430645570415007488,253.26776159778996,57.373047809881335,0.5954990500992978,20.90161,15.732058,246109
1441033687554953088,267.4964651317476,65.28777336035125,1.162806407736894,37.55095,16.062887,207627
1513111107161923200,210.8917936221795,53.453382511654,0.481393402085116,14.634133,16.04799,153148
1564365391446620800,196.5986367362972,55.317645714805806,0.5670495416220618,24.978306,15.0286255,46601
1575553540733945088,180.09382634969643,58.00683058846344,5.700318018602941,449.17398,12.684925,20980
1585699937114574720,225.1989438904478,43.7601904740259,1.2875467634465745,62.46689,15.003843,40136
1635650956523865728,258.3290253255178,67.1495927141391,0.599239096224593,28.903963,15.241344,163139
1642523144714776192,244.05107655963988,66.75388448531844,0.6824268153364687,13.164939,16.983925,131530
1668309539948117120,213.3908000729741,64.48012674258936,1.1478710960536584,24.65493,16.699114,238434
1699642533259078272,215.6469492296942,73.27777170308165,2.0313778344077016,105.58158,13.251797,82018
1702046100037566976,227.56529112048855,76.96771732269409,0.5712178466339647,20.471455,15.704197,118835
1727522128050956416,216.5329776757972,85.76772415335479,0.7208126707722571,48.867004,14.426058,162372
1738506317931341952,320.8858892781492,5.63988722469424,0.4007554408913048,7.1940217,16.524178,113411
1759542616776482560,318.91959210932293,14.404901311381671,0.7385299586268644,18.7826,15.882772,223123
1760616839635682176,318.3440738025701,16.144094589123007,2.085331243899633,32.92474,16.659872,64423
1763893968401078528,317.0472597218986,16.7690652412161,2.172267630630903,21.712566,11.215949,256560
1772276782490444032,326.1487512337299,15.221324391083416,0.4200044462585635,27.342348,13.00022,33695
1783596220339092736,321.33317425663137,15.562026404619154,0.7030390190494549,24.229258,14.991262,160074
1789130955716350336,315.9440368708497,18.67808900492714,0.7197947202849156,20.359367,15.463439,149507
1868828201370560512,317.21489777127675,37.46781888731972,0.3366714847132815,7.0462446,16.725758,235025
1871895216030946304,316.26420196221187,38.021679382231,0.2512741762159752,5.3169484,16.685085,269718
1960180094162006784,330.5481792230445,43.0371809008327,0.3129083548496664,14.810692,15.020188,61217
1965237572780121984,319.29782845338104,39.84045157489607,1.7331245983033328,41.501774,16.645067,115914
1968014664273638784,323.82213946041406,44.22730727484976,0.3222153045659729,12.619792,15.509401,179693
1968305961827548416,318.0592275994286,40.29191021348921,0.3023476519245904,5.920301,16.937016,91843
1970546564679992320,321.3712251561408,43.35393556124357,0.5278846556962606,10.682621,16.725277,271747
1971413254722371328,322.2046058066488,46.06156894392029,1.1198238556161324,86.463066,13.89288,160297
1974357918651153920,326.50332256836754,45.71088353343488,0.423406157734695,10.90722,16.515474,144602
1977521900801422592,324.2038356134921,46.91953026923966,0.6781629457281556,27.239742,15.219573,64465
1979647905309482752,327.4009573641581,49.60869993307309,1.4487825492788524,6.34404,16.854664,189093
1979731541224135168,327.85251680916787,50.10459055020391,0.466925044377671,7.435022,16.837212,129820
1980438664640377216,331.301308787968,52.4998530110658,0.3028996878525815,20.270548,14.26429,65595
1980714985653329536,328.29243270534414,51.59234236136791,0.2810389907658015,14.120777,14.860404,203293
1984290185136192128,343.1711962431744,47.18843034815164,1.154367874620686,51.642895,15.063659,264111
1984976692708799744,341.72714056126034,47.01544722199127,0.6178534013294716,18.384058,15.804216,1031
1991063589081539328,349.5275184510094,50.52755269374693,1.0084200841879407,17.21245,16.331945,249105
1994494237161126272,354.88328581673284,55.36305890178014,0.2507606094644704,6.4954176,16.280823,191182
1996568087891295360,346.4037570448971,54.47500126307249,0.7211987287866019,31.306767,15.23617,23976
1997894133273958784,355.2901314504573,56.95528610123497,0.6433325838387953,16.649582,16.306133,167233
1998609193788747776,353.5022851537864,57.194896409946736,0.3350022749806469,17.879038,14.588019,14898
2003133477981258880,340.2716120886614,54.045538503052335,0.5207297731192736,18.014648,15.631408,258904
2006488977008985088,338.39273618023253,55.666768217104746,0.5386930669824164,9.539482,16.919569,14846
2007128622204680448,341.90442447250683,57.12183744500643,0.2682913456731503,12.785041,14.4391575,265064
2011511481702673280,355.9473822432724,59.66213637421495,0.3337541160402807,16.22321,12.277589,47229
2014008094650970880,347.8807626256132,60.38797801148843,0.4999502745949795,11.708214,16.592787,3227
2061436387713381248,305.28241286701564,39.386037721226046,0.3801034393128019,16.023003,13.9851675,21044
2063288755568925312,310.4348448174751,37.78322119179782,0.7053892021901966,15.15871,16.629446,154414
2064575562120765568,309.77770775805305,40.29806982939272,1.5839999013670585,110.513054,14.398645,273202
2070996813121007744,308.027377448331,45.6675610708042,0.4477116659786627,12.049503,16.39195,210009
142718915684836992,45.970795895791774,38.24275660799776,0.5358563393934058,11.372714,15.821225,219696
143305333339310592,42.840369544878286,38.604497561672176,1.8967428516047071,58.367966,15.211772,143248
197494076720045440,86.48629771436912,45.63140741170513,0.7379486164492254,11.284048,16.885921,258976
230076282744600576,58.2590718838342,40.4293846856523,0.965266095721844,20.674381,15.604864,250657
231629342920866304,60.56237164315709,43.74821789151212,0.5466275419307116,7.324459,16.918076,197445
233268371162866176,62.570080932480565,45.15097414235822,0.7882347332331046,11.940107,16.67174,214834
233814377464434816,64.92132383494031,46.59324388965978,1.5141061584675426,5.651159,14.844001,136068
241511959589616128,52.174920420371606,43.66651516038117,0.4339526308049173,9.735246,15.678518,223253
242919746790506240,50.39218184553791,46.04203674717366,0.3802248342875079,17.854792,14.582621,77124
245633582007160704,61.95529261961641,46.55911319731963,0.7113707250831872,22.493235,15.559331,53987
258876890323391232,69.02423264680091,50.57982269734545,1.1436953843752982,26.920868,15.969865,244245
259856280304874368,73.76558342491656,51.22909438581229,3.817783273057708,96.418434,15.775543,57035
260371023546241664,69.72942976059014,50.69702044564944,1.2686540179513284,36.683044,15.528964,65180
264749686865440256,84.49919909205954,53.92367175591966,0.2778683738843777,10.292737,14.560148,45078
272068143639210368,66.99886700192657,52.39814014628979,0.8845743013444787,13.309686,16.823385,1472
272882160199613824,69.68252772430031,53.30220939460861,0.2835454615900036,8.396202,15.663969,106412
278454347692325120,65.74751334023328,57.1977920683395,0.4452371206124692,10.29067,16.252623,118493
285728304301996032,76.58461745130367,61.71833282556436,0.2997429637658295,5.079013,16.79868,38747
348931462481535104,24.67322409982468,44.10412922439277,0.3999777803148474,9.102001,16.111086,129072
351250504302794752,25.8830031511211,47.54459467685365,0.2510437946556914,5.702884,15.728533,194056
353237970353736192,32.978614477933164,46.8956729675135,0.947484971041096,24.500746,15.421238,144575
393500269396865920,0.1396450204786254,49.57991326062264,0.7164380172854921,12.360382,16.839312,62290
399354378536473728,24.87671069924105,48.1376762358202,0.5940781863088245,34.80031,13.775758,48583
399953848594981248,21.77040472049299,48.5986193136004,0.6461504342748192,11.094962,16.521284,196307
400534876067022848,22.06511047309575,50.24815474110795,0.4289941114874212,12.759229,15.237053,298350
412501548313324288,20.018948071394373,56.62616484848821,0.498468439901873,13.2761345,15.720347,104242
420010869132739456,3.3074344905935744,53.62265203345705,0.669810970460915,10.537835,16.758278,226418
446592696603395712,51.4431249153719,54.19663483521963,0.2894052798362282,6.1170325,16.236147,136531
450730296296155136,36.9009317083543,49.61231727664285,0.3012220274478036,5.7512155,16.160044,117917
492516995191769216,46.982664734690765,67.02991361026896,0.4361448845579491,8.243418,16.994654,261234
520714280122719616,32.250217810963406,69.06403629105867,0.2536045438265221,9.969276,15.248283,55626
524698738468579200,19.72882672473458,64.02121264227291,0.6790260320441853,25.605848,15.443879,247047
527698201885549952,9.712252478082313,66.26382430992115,0.9960093688651048,91.1021,13.12249,127375
531874941622580736,20.35790994065496,68.42366700161239,0.2124266654657316,6.3868504,16.111473,276389
538333747801494528,15.692801567516929,73.54960967311287,0.2097973073653868,12.980394,14.047648,279179
539834237574520704,2.176524724804181,76.13227890527655,0.2518753193909693,7.0917654,16.266699,205955
541112385482712448,48.7963619964756,69.06978673028333,0.2710623059434059,14.277853,12.978875,191620
552281602553712128,81.17092656235629,77.2811787778042,0.8470829821239179,25.110914,16.090683,59409
557894540692434048,77.63325461091547,81.52198705661351,1.0521762064434197,87.335846,13.4668665,158859
557906875838438656,74.47162293542597,81.59768581216207,0.8048451249369373,13.040672,16.757446,127200
786785408171597824,178.08683235852428,48.245285800781296,0.8522117528140284,19.924383,16.400131,286656
817351419099185024,137.42908906465013,44.10181148588504,2.173568937557326,24.95563,16.607597,197503
921991287879955328,122.1787803373283,42.166703838396856,1.4958225589250145,98.68989,13.112354,221135
